country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,year,month,day,hour,weekday,pollutant_range,aqi_category,season
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - Hspcb",2026-03-13 15:00:00,29.966942,76.875879,Nh3,6.0,7.0,6.0,2026,3,13,15,Friday,1.0,N/A,Summer
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - Hspcb",2026-03-13 15:00:00,29.966942,76.875879,Ozone,18.0,84.0,36.0,2026,3,13,15,Friday,66.0,N/A,Summer
India,Haryana,Jind,"Police Lines, Jind - Hspcb",2026-03-13 15:00:00,29.307814,76.337619,Pm2.5,72.0,209.0,134.0,2026,3,13,15,Friday,137.0,N/A,Summer
India,Haryana,Jind,"Police Lines, Jind - Hspcb",2026-03-13 15:00:00,29.307814,76.337619,No2,31.0,42.0,36.0,2026,3,13,15,Friday,11.0,N/A,Summer
India,Haryana,Jind,"Police Lines, Jind - Hspcb",2026-03-13 15:00:00,29.307814,76.337619,So2,1.0,2.0,1.0,2026,3,13,15,Friday,1.0,N/A,Summer
India,Haryana,Jind,"Police Lines, Jind - Hspcb",2026-03-13 15:00:00,29.307814,76.337619,Ozone,15.0,38.0,26.0,2026,3,13,15,Friday,23.0,N/A,Summer
India,Gujarat,Vapi,"Phase-1 Gidc, Vapi - Gpcb",2026-03-13 15:00:00,20.362421,72.918013,Pm2.5,45.0,213.0,111.0,2026,3,13,15,Friday,168.0,N/A,Summer
India,Gujarat,Vapi,"Phase-1 Gidc, Vapi - Gpcb",2026-03-13 15:00:00,20.362421,72.918013,So2,11.0,14.0,13.0,2026,3,13,15,Friday,3.0,N/A,Summer
India,Haryana,Rohtak,"Md University, Rohtak - Hspcb",2026-03-13 15:00:00,28.52123,76.37138,Ozone,38.0,40.0,39.0,2026,3,13,15,Friday,2.0,N/A,Summer
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - Kspcb",2026-03-13 15:00:00,17.336318,76.847397,Nh3,2.0,4.0,3.0,2026,3,13,15,Friday,2.0,N/A,Summer
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - Kspcb",2026-03-13 15:00:00,17.336318,76.847397,So2,2.0,6.0,4.0,2026,3,13,15,Friday,4.0,N/A,Summer
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - Kspcb",2026-03-13 15:00:00,12.415911,75.73505,So2,6.0,7.0,7.0,2026,3,13,15,Friday,1.0,N/A,Summer
India,Karnataka,Mangalore,"Kadri, Mangalore - Kspcb",2026-03-13 15:00:00,12.88925,74.853,No2,14.0,40.0,26.0,2026,3,13,15,Friday,26.0,N/A,Summer
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - Kspcb",2026-03-13 15:00:00,12.733409,77.298051,No2,9.0,70.0,27.0,2026,3,13,15,Friday,61.0,N/A,Summer
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - Kspcb",2026-03-13 15:00:00,12.733409,77.298051,Nh3,2.0,6.0,4.0,2026,3,13,15,Friday,4.0,N/A,Summer
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - Kspcb",2026-03-13 15:00:00,12.733409,77.298051,Ozone,20.0,69.0,55.0,2026,3,13,15,Friday,49.0,N/A,Summer
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - Kspcb",2026-03-13 15:00:00,16.802639,75.722694,Pm10,61.0,63.0,62.0,2026,3,13,15,Friday,2.0,N/A,Summer
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - Kspcb",2026-03-13 15:00:00,16.802639,75.722694,Co,4.0,36.0,24.0,2026,3,13,15,Friday,32.0,N/A,Summer
India,Himachal Pradesh,Baddi,"Himuda Complex Phase-1, Baddi - Hppcb",2026-03-13 15:00:00,30.943887,76.801991,Pm10,112.0,214.5,163.0,2026,3,13,15,Friday,102.5,N/A,Summer
India,Himachal Pradesh,Baddi,"Himuda Complex Phase-1, Baddi - Hppcb",2026-03-13 15:00:00,30.943887,76.801991,No2,8.0,58.0,32.0,2026,3,13,15,Friday,50.0,N/A,Summer
India,Himachal Pradesh,Baddi,"Himuda Complex Phase-1, Baddi - Hppcb",2026-03-13 15:00:00,30.943887,76.801991,Ozone,22.0,114.0,79.0,2026,3,13,15,Friday,92.0,N/A,Summer
India,Jammu And Kashmir,Pampore,"Khrew, Pampore - Jkpcc",2026-03-13 15:00:00,34.031606,75.009712,Pm2.5,14.0,213.0,48.0,2026,3,13,15,Friday,199.0,N/A,Summer
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - Kspcb",2026-03-13 15:00:00,16.172806,75.659694,Pm2.5,34.0,36.0,35.0,2026,3,13,15,Friday,2.0,N/A,Summer
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - Kspcb",2026-03-13 15:00:00,16.172806,75.659694,So2,7.0,7.0,7.0,2026,3,13,15,Friday,0.0,N/A,Summer
India,Karnataka,Bengaluru,"Btm Layout, Bengaluru - Cpcb",2026-03-13 15:00:00,12.9135218,77.5950804,No2,26.0,28.0,27.0,2026,3,13,15,Friday,2.0,N/A,Summer
India,Karnataka,Bengaluru,"Btm Layout, Bengaluru - Cpcb",2026-03-13 15:00:00,12.9135218,77.5950804,Co,40.0,52.0,48.0,2026,3,13,15,Friday,12.0,N/A,Summer
